Date,AvgTemp
1900,58.12835
1901,57.75335
1902,56.7899
1903,57.0455
1904,58.13885
1905,57.43565
1906,57.8753
1907,57.2735
1908,56.95415
1909,56.7674
1910,58.2854
1911,56.02805
1912,56.0336
1913,56.7311
1914,57.7172
1915,57.2177
1916,56.0477
1917,57.0986
1918,57.27035
1919,56.69375
1920,56.40245
1921,57.6992
1922,56.4386
1923,56.77325
1924,57.42635
1925,57.5414
1926,59.1035
1927,57.29705
1928,57.9539
1929,57.5663
1930,57.26675
1931,58.6253
1932,57.19955
1933,57.07325
1934,60.09095
1935,57.23345
1936,58.9274
1937,57.55475
1938,57.64775
1939,58.65095
1940,59.25455
1941,57.61565
1942,57.57545
1943,58.412
1944,56.76485
1945,57.51275
1946,57.18725
1947,58.04405
1948,56.11025
1949,56.78315
1950,58.50425
1951,57.59885
1952,57.20315
1953,57.6248
1954,58.022
1955,56.6375
1956,57.3728
1957,57.56555
1958,59.33465
1959,59.2805
1960,58.40825
1961,58.1888
1962,57.70655
1963,57.50735
1964,56.8628
1965,57.05795
1966,58.29305
1967,57.89105
1968,57.94775
1969,57.81545
1970,58.0859
1971,56.54525
1972,57.58445
1973,57.64115
1974,57.96965
1975,56.62535
1976,57.86225
1977,58.37165
1978,58.02035
1979,58.04315
1980,58.39265
1981,59.5736
1982,56.6639
1983,57.95825
1984,58.4585
1985,57.5264
1986,59.08295
1987,58.5317
1988,58.94435
1989,58.28885
1990,58.14965
1991,58.2035
1992,59.49845
1993,57.93275
1994,58.2227
1995,59.1689
1996,59.80235
1997,59.3609
1998,57.03005
1999,58.16345
2000,59.0348
2001,59.30825
2002,59.06765
2003,59.70455
2004,59.12375
2005,58.8554
2006,58.90175
2007,59.11235
2008,59.1281
2009,59.00765
2010,57.9347
2011,57.67835
2012,59.6453
2013,62.3218
